City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,Kirovskiy,45.0917,133.5136,-18.15,88,82,1.23,RU,2021-02-07 20:54:20
134,Hermanus,-34.4187,19.2345,64.99,79,5,4.21,ZA,2021-02-07 20:50:07
135,Souillac,-20.5167,57.5167,80.6,78,75,9.22,MU,2021-02-07 20:49:50
136,Ornes,66.8689,13.7078,32.0,59,75,11.5,NO,2021-02-07 20:54:21
137,Cabra,37.4725,-4.4421,48.0,81,97,3.0,ES,2021-02-07 20:54:21
138,Hithadhoo,-0.6,73.0833,82.27,69,59,8.32,MV,2021-02-07 20:54:21
139,Tianpeng,30.9866,103.9393,52.0,1,93,1.48,CN,2021-02-07 20:54:21
140,Nouakchott,18.0858,-15.9785,68.0,24,0,8.05,MR,2021-02-07 20:51:22
141,Saint-Georges,12.0564,-61.7485,80.6,74,75,19.57,GD,2021-02-07 20:51:43
142,Ilulissat,69.2167,-51.1,24.8,39,0,6.91,GL,2021-02-07 20:54:22
143,Port Hardy,50.6996,-127.4199,39.2,93,75,6.91,CA,2021-02-07 20:54:22
144,Qaanaaq,77.484,-69.3632,12.56,85,59,6.87,GL,2021-02-07 20:54:22
145,Daru,-9.0763,143.2092,77.99,88,97,9.71,PG,2021-02-07 20:54:22
146,Thompson,55.7435,-97.8558,-27.4,68,75,14.97,CA,2021-02-07 20:51:12
147,Deputatskiy,69.3,139.9,-28.57,85,2,1.74,RU,2021-02-07 20:54:22
148,Chipinge,-20.1883,32.6236,64.96,95,82,3.62,ZW,2021-02-07 20:54:22
149,Kaeo,-35.1,173.7833,70.0,74,31,7.0,NZ,2021-02-07 20:54:23
150,Viamao,-30.0811,-51.0233,82.4,42,0,9.22,BR,2021-02-07 20:54:23
151,Hambantota,6.1241,81.1185,77.02,81,9,16.15,LK,2021-02-07 20:54:23
152,Torbay,47.6666,-52.7314,30.99,64,20,26.46,CA,2021-02-07 20:54:23
153,Berlevag,70.8578,29.0864,24.8,74,75,29.93,NO,2021-02-07 20:54:23
154,Port Macquarie,-31.4333,152.9167,72.0,87,100,1.01,AU,2021-02-07 20:53:13
155,Castro,-24.7911,-50.0119,70.72,67,0,4.92,BR,2021-02-07 20:54:23
156,Yola,9.2,12.4833,78.15,17,95,1.83,NG,2021-02-07 20:54:24
157,Kjollefjord,70.9457,27.3465,28.4,59,75,26.46,NO,2021-02-07 20:54:24
158,Nelson Bay,-32.7167,152.15,71.01,78,40,11.5,AU,2021-02-07 20:54:24
159,Belyy,55.8402,32.9419,3.34,94,95,4.52,RU,2021-02-07 20:54:24
160,Mareeba,-17.0,145.4333,80.01,100,100,1.81,AU,2021-02-07 20:49:47
161,Arraial Do Cabo,-22.9661,-42.0278,73.4,88,75,4.61,BR,2021-02-07 20:51:15
162,Bonfim,3.0833,-59.95,91.92,43,41,5.44,BR,2021-02-07 20:52:24
163,Shelburne,44.0787,-80.2041,17.01,78,96,14.0,CA,2021-02-07 20:54:24
