City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Muriwai Beach,NZ,-36.8167,174.45,75.2,53,75,11.5,broken clouds
226,Torbay,CA,47.6666,-52.7314,30.0,69,20,33.38,few clouds
227,Eirunepe,BR,-6.6603,-69.8736,76.75,94,71,2.84,broken clouds
228,Tortoli,IT,39.9256,9.6572,53.6,66,0,8.05,clear sky
229,Nakambala,ZM,-15.8324,27.7799,66.11,96,100,3.53,overcast clouds
230,Oranjemund,NA,-28.55,16.4333,62.33,78,0,19.48,clear sky
231,Klamath Falls,US,42.2249,-121.7817,53.6,16,1,17.27,clear sky
232,Kortkeros,RU,61.8106,51.5806,-18.4,76,90,8.95,light snow
233,George,ZA,-33.963,22.4617,62.6,88,75,5.75,broken clouds
234,Inhambane,MZ,-23.865,35.3833,78.8,85,99,7.29,overcast clouds
235,Fernie,CA,49.5,-115.0687,8.6,47,100,3.44,overcast clouds
236,Kahului,US,20.8947,-156.47,78.8,53,40,12.66,scattered clouds
237,Vila Franca Do Campo,PT,37.7167,-25.4333,57.0,82,20,8.05,few clouds
238,Chapais,CA,49.7834,-74.8492,12.2,85,90,6.91,overcast clouds
239,Magadan,RU,59.5667,150.8,13.93,85,95,21.25,overcast clouds
240,Fortuna,US,40.5982,-124.1573,53.01,81,1,11.5,clear sky
241,Cap-Aux-Meules,CA,47.3821,-61.8597,24.8,74,85,3.44,overcast clouds
242,Aklavik,CA,68.2191,-135.0107,-22.0,76,100,10.36,overcast clouds
243,Vao,NC,-22.6667,167.4833,77.79,80,90,5.55,overcast clouds
244,Salvador,SV,13.8333,-88.9167,82.4,69,9,4.61,smoke
245,Sarahan,IN,31.5167,77.8,38.89,51,0,10.92,clear sky
246,La Ronge,CA,55.1001,-105.2842,-27.4,56,63,6.91,broken clouds
247,Milkovo,RU,54.7167,158.6167,22.14,97,100,0.98,snow
248,Khatanga,RU,71.9667,102.5,-28.75,79,0,11.07,clear sky
249,Rio Gallegos,AR,-51.6226,-69.2181,64.4,45,0,19.57,clear sky
250,Cherskiy,RU,68.75,161.3,2.75,70,12,4.65,few clouds
251,Shelburne,CA,44.0787,-80.2041,9.0,88,94,10.27,overcast clouds
252,Fresnillo,MX,23.1667,-102.8833,73.4,14,20,13.8,few clouds
253,Grand-Santi,GF,4.25,-54.3833,73.35,96,100,2.95,overcast clouds
254,Lompoc,US,34.6391,-120.4579,59.0,82,1,13.8,clear sky
255,Petershagen,DE,52.3833,8.9667,21.99,73,100,13.8,overcast clouds
256,Maniwaki,CA,46.3834,-75.966,17.6,62,91,8.05,overcast clouds
257,Sistranda,NO,63.7256,8.834,23.0,86,75,8.05,light snow
258,Puerto Quijarro,BO,-17.7833,-57.7667,77.25,50,16,2.68,few clouds
259,Zhangjiakou,CN,40.81,114.8794,16.92,79,0,4.16,clear sky
260,Ossora,RU,59.2353,163.0719,28.89,98,100,17.67,snow
261,Harper,LR,4.375,-7.7169,79.3,89,81,5.91,broken clouds
262,Beatrice,US,40.2681,-96.747,5.0,78,90,6.91,light snow
263,Aksu,CN,41.1231,80.2644,25.93,89,78,0.38,broken clouds
264,Wuchang,CN,44.9143,127.15,-13.16,90,77,3.83,broken clouds
265,Aasiaat,GL,68.7098,-52.8699,17.76,86,0,17.56,clear sky
266,Tabuk,PH,17.4189,121.4443,73.31,87,53,0.87,broken clouds
267,Mananara,MG,-16.1667,49.7667,75.06,90,100,2.91,overcast clouds
268,Ormara,PK,25.2088,64.6357,68.0,37,0,8.19,clear sky
269,Mitu,CO,1.1983,-70.1733,74.48,97,90,1.9,overcast clouds
270,Gwembe,ZM,-16.4975,27.6069,66.76,97,100,3.15,overcast clouds
271,Sur,OM,22.5667,59.5289,63.36,72,0,3.96,clear sky
272,Rypefjord,NO,70.6333,23.6667,23.0,86,90,14.97,snow
273,Tambacounda,SN,13.7539,-13.7586,77.0,31,0,4.61,clear sky
274,Chizhou,CN,30.6578,117.4831,45.81,80,100,13.89,light rain
275,Korla,CN,41.7597,86.1469,31.28,79,38,3.4,scattered clouds
